====================================================================================================
RELATORIO SIGTAP - COMPETENCIA 06/2025
Valores extraidos do site SIGTAP para validacao
====================================================================================================

Total de procedimentos no SIGTAP para 06/2025: 125

==================================================================================================================================
TABELA COMPLETA DE PROCEDIMENTOS SIGTAP
==================================================================================================================================
Codigo       Nome                                               SA         SH         TA         SP         TH Complexidade          
                                                           Srv.Amb   Srv.Hosp    Tot.Amb   Srv.Prof   Tot.Hosp
----------------------------------------------------------------------------------------------------------------------------------
  Nome:                            DOSAGEM DE COLESTEROL HDL
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010287
  Nome:                            DOSAGEM DE COLESTEROL LDL
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010295
  Nome:                            DOSAGEM DE COLESTEROL TOTAL
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010317
  Nome:                            DOSAGEM DE CREATININA
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010341
  Nome:                            DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010368
  Nome:                            DOSAGEM DE DESIDROGENASE LATICA
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010376
  Nome:                            DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS)
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010392
  Nome:                            DOSAGEM DE FERRO SERICO
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010422
  Nome:                            DOSAGEM DE FOSFATASE ALCALINA
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010430
  Nome:                            DOSAGEM DE FOSFORO
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010465
  Nome:                            DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
  Servico Profissional (SP):       R$ 0.00
  Total Hospitalar (TH = SH + SP): R$ 0.00
  Idade Minima:                    0 anos
  Idade Maxima:                    130 anos
  Sexo:                            Ambos
  Permanencia Media:               0 dias

  ------------------------------------------------------------------------------------------------------------------------------
  Codigo:                          0202010473
  Nome:                            DOSAGEM DE GLICOSE
  Descricao:                       N/A
  Complexidade:                    Média Complexidade
  Financiamento:                   Média e Alta Complexidade (MAC)
  Servico Ambulatorial (SA):       R$ 0.00
  Servico Hospitalar (SH):         R$ 0.00
  Total Ambulatorial (TA):         R$ 0.00
